Age,Gender,Category,MarriageStatus,FactorsPurchase,FreeCustomization,ExteriorComponents,InteriorComponents,WTSCustomization,WantOwnPersonalization,WTSPersonalization,PersonalizationJob,factors,external,internal,fact_length,ext_length,int_length
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels,Steering wheel;Door handles,500-1000,Only with professional help,under 500,"Yes, I can design on my own","['Price', 'Brand name', 'Aesthetics', 'Functionality', 'Size', 'Sustainability/environment considerations']",['Wheels'],"['Steering wheel', 'Door handles']",6,1,2
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features,Very likely,Wheels;Headlights,Steering wheel;Dashboard,over 1000,Yes,500-1000,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Technological features']","['Wheels', 'Headlights']","['Steering wheel', 'Dashboard']",3,2,2
20-30,Female,"Do not own a car, but planning to purchase in future",Married with children,Price;Aesthetics;Technological features;Customisable options;Sustainability/environment considerations,Very likely,Grilles;Bumpers,Centre compartment;Door handles;Dashboard,0,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Price', 'Aesthetics', 'Technological features', 'Customisable options', 'Sustainability/environment considerations']","['Grilles', 'Bumpers']","['Centre compartment', 'Door handles', 'Dashboard']",5,2,3
31-40,Male,"Do not own a car, but planning to purchase in future",Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels,Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality', 'Size']",['Wheels'],['Dashboard'],6,1,1
31-40,Male,Own a car,Married with children,Price;Technological features;Functionality;Customisable options;Sustainability/environment considerations,Very likely,Wheels;Bumpers,Dashboard,over 1000,Yes,500-1000,"Yes, I can design on my own","['Price', 'Technological features', 'Functionality', 'Customisable options', 'Sustainability/environment considerations']","['Wheels', 'Bumpers']",['Dashboard'],5,2,1
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Size,Likely,Wheels;Headlights;Side mirrors,Steering wheel;Centre compartment;Door handles;Dashboard,500-1000,Yes,over 1000,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Technological features', 'Size']","['Wheels', 'Headlights', 'Side mirrors']","['Steering wheel', 'Centre compartment', 'Door handles', 'Dashboard']",4,3,4
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels,Dashboard,under 500,Only with professional help,under 500,"Yes, I can design on my own","['Price', 'Functionality', 'Size', 'Sustainability/environment considerations']",['Wheels'],['Dashboard'],4,1,1
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Size;Customisable options;Sustainability/environment considerations,Likely,Wheels;Side mirrors,Steering wheel;Dashboard,under 500,Yes,500-1000,"Yes, I can design on my own","['Price', 'Aesthetics', 'Technological features', 'Size', 'Customisable options', 'Sustainability/environment considerations']","['Wheels', 'Side mirrors']","['Steering wheel', 'Dashboard']",6,2,2
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Technological features,Likely,Headlights;Side mirrors,Centre compartment;Dashboard,over 1000,Yes,over 1000,"Yes, I can design on my own","['Price', 'Technological features']","['Headlights', 'Side mirrors']","['Centre compartment', 'Dashboard']",2,2,2
31-40,Male,"Do not own a car, but planning to purchase in future",Single,Aesthetics;Technological features;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels;Grilles,Steering wheel;Centre compartment;Door handles;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Aesthetics', 'Technological features', 'Functionality', 'Size', 'Sustainability/environment considerations']","['Wheels', 'Grilles']","['Steering wheel', 'Centre compartment', 'Door handles', 'Dashboard']",5,2,4
